user_id,start_date,end_date,plan_type
user_22667,2023-09-13,2023-10-12,basic
user_3839,2023-12-30,2024-01-28,pro
user_24036,2023-05-15,2023-06-13,basic
user_20207,2023-06-08,2023-07-07,basic
user_16056,2023-07-29,2023-08-27,pro
user_9145,2023-09-08,2023-10-07,premium
user_13860,2023-12-02,2023-12-31,basic
user_1049,2023-11-14,2023-12-13,pro
user_343,2023-09-14,2023-10-13,premium
user_4155,2023-06-26,2023-07-25,premium
user_26274,2023-12-26,2024-01-24,basic
user_26721,2023-03-23,2023-04-21,basic
user_27190,2023-11-01,2023-11-30,basic
user_7353,2023-09-18,2023-10-17,pro
user_6629,2023-04-25,2023-05-24,premium
user_20953,2023-10-16,2023-11-14,pro
user_12321,2023-12-19,2024-01-17,pro
user_1685,2023-08-22,2023-09-20,premium
user_8796,2023-11-01,2023-11-30,basic
user_19469,2023-09-20,2023-10-19,pro
user_18453,2023-07-06,2023-08-04,pro
user_27444,2023-04-16,2023-05-15,basic
user_19326,2023-09-14,2023-10-13,basic
user_12889,2023-08-27,2023-09-25,premium
user_112,2023-08-12,2023-09-10,basic
user_2318,2023-10-15,2023-11-13,pro
user_25135,2023-05-25,2023-06-23,premium
user_15988,2023-09-08,2023-10-07,basic
user_10298,2023-09-08,2023-10-07,basic
user_6918,2023-10-21,2023-11-19,premium
user_18483,2023-05-12,2023-06-10,premium
user_3140,2023-07-10,2023-08-08,premium
user_10368,2023-10-27,2023-11-25,premium
user_12047,2023-06-04,2023-07-03,pro
user_2831,2023-06-21,2023-07-20,premium
user_26952,2023-11-02,2023-12-01,premium
user_12555,2023-10-17,2023-11-15,premium
user_9792,2023-10-27,2023-11-25,basic
user_21368,2023-11-05,2023-12-04,pro
user_25008,2023-07-23,2023-08-21,premium
user_19776,2023-09-02,2023-10-01,premium
user_16010,2023-10-16,2023-11-14,premium
user_25945,2023-09-06,2023-10-05,basic
user_1733,2023-04-18,2023-05-17,basic
user_25922,2023-04-29,2023-05-28,basic
user_9383,2023-01-30,2023-02-28,basic
user_5540,2023-09-15,2023-10-14,basic
user_21433,2023-12-18,2024-01-16,basic
user_27660,2023-08-21,2023-09-19,premium
user_23257,2023-09-18,2023-10-17,basic
user_1986,2023-12-27,2024-01-25,premium
user_3672,2023-08-19,2023-09-17,premium
user_3860,2023-11-25,2023-12-24,basic
user_18150,2023-10-12,2023-11-10,basic
user_16728,2023-10-18,2023-11-16,pro
user_5194,2023-11-14,2023-12-13,basic
user_18334,2023-06-13,2023-07-12,premium
user_27951,2023-10-02,2023-10-31,pro
user_20894,2023-09-18,2023-10-17,basic
user_899,2023-12-02,2023-12-31,premium
user_25815,2023-09-09,2023-10-08,pro
user_27857,2023-08-29,2023-09-27,premium
user_9897,2023-11-22,2023-12-21,premium
user_9211,2023-11-02,2023-12-01,basic
user_20130,2023-07-28,2023-08-26,basic
user_20349,2023-08-09,2023-09-07,premium
user_19399,2023-11-08,2023-12-07,pro
user_8138,2023-10-15,2023-11-13,pro
user_27,2023-11-01,2023-11-30,basic
user_18284,2023-04-01,2023-04-30,premium
user_25650,2023-05-27,2023-06-25,basic
user_5278,2023-07-29,2023-08-27,basic
user_6707,2023-08-28,2023-09-26,basic
user_15168,2023-07-07,2023-08-05,pro
user_4482,2023-05-19,2023-06-17,pro
user_22484,2023-10-08,2023-11-06,pro
user_17215,2023-06-05,2023-07-04,basic
user_19127,2023-07-10,2023-08-08,pro
user_1632,2023-11-02,2023-12-01,premium
user_12581,2023-10-01,2023-10-30,pro
user_23486,2023-06-08,2023-07-07,basic
user_26653,2023-04-30,2023-05-29,pro
user_25174,2023-09-14,2023-10-13,pro
user_10084,2023-11-29,2023-12-28,basic
user_11817,2023-12-22,2024-01-20,premium
user_15971,2023-08-29,2023-09-27,basic
user_21348,2023-06-02,2023-07-01,pro
user_26549,2023-10-06,2023-11-04,pro
user_17164,2023-06-18,2023-07-17,premium
user_9046,2023-08-30,2023-09-28,premium
user_6985,2023-12-13,2024-01-11,basic
user_14445,2023-10-09,2023-11-07,pro
user_16595,2023-10-01,2023-10-30,premium
user_18041,2023-05-17,2023-06-15,pro
user_25371,2023-08-28,2023-09-26,premium
user_7373,2023-11-01,2023-11-30,premium
user_4305,2023-09-18,2023-10-17,pro
user_8780,2023-11-23,2023-12-22,basic
user_3580,2023-11-26,2023-12-25,premium
user_12266,2023-10-06,2023-11-04,basic
user_14814,2023-10-07,2023-11-05,pro
user_24550,2023-12-05,2024-01-03,pro
user_25151,2023-09-30,2023-10-29,premium
user_29570,2023-05-15,2023-06-13,premium
user_18718,2023-03-18,2023-04-16,basic
user_29389,2023-11-17,2023-12-16,premium
user_27801,2023-09-24,2023-10-23,premium
user_21794,2023-09-21,2023-10-20,basic
user_10010,2023-10-21,2023-11-19,pro
user_12733,2023-08-18,2023-09-16,pro
user_18335,2023-05-12,2023-06-10,premium
user_17931,2023-06-10,2023-07-09,premium
user_24027,2023-04-08,2023-05-07,premium
user_23742,2023-08-11,2023-09-09,pro
user_20639,2023-08-26,2023-09-24,premium
user_23389,2023-12-14,2024-01-12,premium
user_7478,2023-09-08,2023-10-07,premium
user_12851,2023-03-26,2023-04-24,premium
user_17129,2023-06-29,2023-07-28,pro
user_6397,2023-04-08,2023-05-07,pro
user_2847,2023-04-13,2023-05-12,pro
user_23791,2023-09-27,2023-10-26,pro
user_17251,2023-04-07,2023-05-06,premium
user_1706,2023-08-05,2023-09-03,premium
user_19295,2023-09-19,2023-10-18,basic
user_27798,2023-06-07,2023-07-06,premium
user_9493,2023-10-31,2023-11-29,pro
user_3291,2023-04-30,2023-05-29,pro
user_19568,2023-12-13,2024-01-11,basic
user_8275,2023-06-24,2023-07-23,basic
user_18091,2023-05-04,2023-06-02,pro
user_21657,2023-12-03,2024-01-01,premium
user_20447,2023-10-31,2023-11-29,pro
user_10680,2023-04-10,2023-05-09,pro
user_9372,2023-10-29,2023-11-27,pro
user_6278,2023-06-12,2023-07-11,basic
user_13949,2023-10-21,2023-11-19,premium
user_4053,2023-11-28,2023-12-27,basic
user_12487,2023-08-12,2023-09-10,premium
user_1513,2023-08-09,2023-09-07,premium
user_18205,2023-12-16,2024-01-14,premium
user_22581,2023-12-08,2024-01-06,premium
user_30000,2023-12-28,2024-01-26,basic
user_918,2023-11-05,2023-12-04,premium
user_26429,2023-10-24,2023-11-22,pro
user_1667,2023-09-23,2023-10-22,premium
user_15191,2023-10-21,2023-11-19,premium
user_25594,2023-09-21,2023-10-20,pro
user_28995,2023-12-31,2024-01-29,pro
user_9755,2023-11-03,2023-12-02,premium
user_12499,2023-08-23,2023-09-21,premium
user_12985,2023-12-22,2024-01-20,pro
user_19981,2023-06-27,2023-07-26,basic
user_27712,2023-08-18,2023-09-16,premium
user_16127,2023-09-26,2023-10-25,basic
user_4595,2023-09-15,2023-10-14,basic
user_13157,2023-10-27,2023-11-25,premium
user_9746,2023-12-28,2024-01-26,premium
user_22251,2023-09-25,2023-10-24,premium
user_19635,2023-09-17,2023-10-16,pro
user_13281,2023-02-09,2023-03-10,basic
user_25483,2023-10-17,2023-11-15,basic
user_13759,2023-10-24,2023-11-22,premium
user_12394,2023-09-03,2023-10-02,premium
user_14141,2023-12-20,2024-01-18,basic
user_3518,2023-08-24,2023-09-22,basic
user_17207,2023-11-18,2023-12-17,basic
user_14197,2023-11-07,2023-12-06,pro
user_18140,2023-05-12,2023-06-10,pro
user_11248,2023-07-05,2023-08-03,basic
user_10533,2023-03-21,2023-04-19,basic
user_775,2023-09-30,2023-10-29,premium
user_11383,2023-11-17,2023-12-16,pro
user_25421,2023-08-26,2023-09-24,premium
user_7303,2023-05-31,2023-06-29,pro
user_25430,2023-07-29,2023-08-27,pro
user_4382,2023-09-22,2023-10-21,basic
user_25835,2023-04-19,2023-05-18,premium
user_12639,2023-04-18,2023-05-17,basic
user_1410,2023-09-15,2023-10-14,pro
user_20554,2023-02-18,2023-03-19,pro
user_15985,2023-10-10,2023-11-08,pro
user_3772,2023-08-28,2023-09-26,pro
user_16888,2023-09-13,2023-10-12,premium
user_23939,2023-11-01,2023-11-30,pro
user_14825,2023-09-18,2023-10-17,premium
user_15812,2023-09-23,2023-10-22,pro
user_24346,2023-08-22,2023-09-20,pro
user_19085,2023-08-12,2023-09-10,pro
user_3121,2023-05-09,2023-06-07,premium
user_6790,2023-09-15,2023-10-14,basic
user_14168,2023-03-21,2023-04-19,premium
user_22848,2023-11-14,2023-12-13,pro
user_24364,2023-12-10,2024-01-08,premium
user_11552,2023-07-20,2023-08-18,premium
user_11611,2023-09-04,2023-10-03,pro
user_16556,2023-06-12,2023-07-11,pro
user_29202,2023-06-11,2023-07-10,premium
user_10127,2023-12-31,2024-01-29,premium
user_20438,2023-08-10,2023-09-08,premium
user_15484,2023-05-14,2023-06-12,basic
user_27928,2023-12-10,2024-01-08,premium
user_21965,2023-07-05,2023-08-03,basic
user_16673,2023-07-06,2023-08-04,basic
user_12901,2023-06-29,2023-07-28,basic
user_20310,2023-11-09,2023-12-08,premium
user_8544,2023-11-04,2023-12-03,basic
user_2531,2023-12-21,2024-01-19,basic
user_24093,2023-06-21,2023-07-20,pro
user_2508,2023-09-28,2023-10-27,pro
user_5032,2023-11-07,2023-12-06,pro
user_18941,2023-09-04,2023-10-03,pro
user_20099,2023-11-29,2023-12-28,basic
user_28239,2023-12-01,2023-12-30,basic
user_25328,2023-08-24,2023-09-22,premium
user_25557,2023-08-08,2023-09-06,pro
user_11730,2023-05-18,2023-06-16,basic
user_8207,2023-04-11,2023-05-10,basic
user_22578,2023-11-14,2023-12-13,pro
user_25317,2023-09-17,2023-10-16,basic
user_8225,2023-09-25,2023-10-24,pro
user_23084,2023-05-22,2023-06-20,pro
user_1643,2023-07-27,2023-08-25,premium
user_13118,2023-01-14,2023-02-12,basic
user_7605,2023-12-06,2024-01-04,basic
user_2697,2023-08-10,2023-09-08,premium
user_2548,2023-02-14,2023-03-15,pro
user_28579,2023-09-17,2023-10-16,premium
user_28356,2023-08-18,2023-09-16,premium
user_13506,2023-09-24,2023-10-23,pro
user_14406,2023-08-21,2023-09-19,pro
user_27732,2023-08-27,2023-09-25,basic
user_15445,2023-05-20,2023-06-18,pro
user_15202,2023-10-26,2023-11-24,pro
user_11475,2023-08-17,2023-09-15,premium
user_27853,2023-12-16,2024-01-14,pro
user_14339,2023-06-15,2023-07-14,pro
user_23226,2024-01-01,2024-01-30,basic
user_27796,2023-03-10,2023-04-08,premium
user_5117,2023-11-25,2023-12-24,pro
user_20337,2023-08-25,2023-09-23,basic
user_14174,2023-05-11,2023-06-09,pro
user_21605,2023-05-02,2023-05-31,basic
user_13276,2023-09-11,2023-10-10,premium
user_22692,2023-08-01,2023-08-30,pro
user_10274,2023-05-23,2023-06-21,basic
user_29638,2023-08-05,2023-09-03,basic
user_20747,2023-04-26,2023-05-25,pro
user_23194,2023-10-22,2023-11-20,pro
user_23133,2023-12-09,2024-01-07,premium
user_3217,2023-11-15,2023-12-14,basic
user_27996,2023-09-04,2023-10-03,premium
user_4979,2023-09-21,2023-10-20,pro
user_11955,2023-12-13,2024-01-11,premium
user_8920,2023-03-01,2023-03-30,pro
user_13791,2023-12-06,2024-01-04,pro
user_11904,2023-10-17,2023-11-15,premium
user_22330,2023-08-21,2023-09-19,pro
user_16442,2023-05-02,2023-05-31,pro
user_1443,2023-07-29,2023-08-27,basic
user_28013,2023-05-20,2023-06-18,premium
user_25795,2023-08-29,2023-09-27,premium
user_24726,2023-11-20,2023-12-19,pro
user_26966,2023-11-04,2023-12-03,basic
user_18775,2023-11-01,2023-11-30,pro
user_21785,2023-05-12,2023-06-10,premium
user_15028,2023-08-18,2023-09-16,basic
user_18626,2023-12-21,2024-01-19,premium
user_9753,2023-10-15,2023-11-13,premium
user_22238,2023-06-17,2023-07-16,pro
user_25738,2023-02-07,2023-03-08,premium
user_18158,2023-12-23,2024-01-21,premium
user_22684,2023-03-24,2023-04-22,pro
user_2398,2023-06-24,2023-07-23,pro
user_8257,2023-08-12,2023-09-10,premium
user_23808,2023-12-05,2024-01-03,basic
user_20651,2023-03-19,2023-04-17,pro
user_24864,2023-12-21,2024-01-19,pro
user_24111,2023-11-06,2023-12-05,pro
user_11125,2023-12-05,2024-01-03,pro
user_4662,2023-04-19,2023-05-18,premium
user_11513,2023-10-11,2023-11-09,premium
user_4362,2023-07-26,2023-08-24,basic
user_14455,2023-12-31,2024-01-29,basic
user_27715,2023-09-02,2023-10-01,basic
user_15127,2023-10-03,2023-11-01,basic
user_26209,2023-11-19,2023-12-18,pro
user_15540,2023-09-04,2023-10-03,premium
user_28532,2023-06-07,2023-07-06,pro
user_377,2023-09-26,2023-10-25,pro
user_25400,2023-11-30,2023-12-29,basic
user_11746,2023-11-01,2023-11-30,basic
user_23813,2023-09-19,2023-10-18,basic
user_3799,2023-08-11,2023-09-09,basic
user_4481,2023-09-29,2023-10-28,premium
user_23234,2023-08-09,2023-09-07,premium
user_20748,2023-05-17,2023-06-15,premium
user_9751,2023-05-11,2023-06-09,basic
user_16953,2023-06-16,2023-07-15,pro
user_23852,2023-08-29,2023-09-27,premium
user_18576,2023-03-27,2023-04-25,premium
user_10732,2023-06-06,2023-07-05,basic
user_26432,2023-03-20,2023-04-18,premium
user_22890,2023-06-02,2023-07-01,premium
user_10093,2023-12-27,2024-01-25,basic
user_18010,2023-11-15,2023-12-14,premium
user_28129,2023-04-25,2023-05-24,pro
user_14024,2023-10-23,2023-11-21,pro
user_21246,2023-12-30,2024-01-28,basic
user_12495,2023-08-10,2023-09-08,basic
user_2070,2023-06-06,2023-07-05,pro
user_8065,2023-09-02,2023-10-01,basic
user_18412,2023-07-31,2023-08-29,basic
user_18357,2023-05-21,2023-06-19,basic
user_9636,2023-12-08,2024-01-06,pro
user_25072,2023-03-02,2023-03-31,pro
user_2752,2023-08-27,2023-09-25,pro
user_16667,2023-09-23,2023-10-22,basic
user_22481,2023-12-02,2023-12-31,basic
user_13103,2023-07-24,2023-08-22,premium
user_20959,2023-04-23,2023-05-22,basic
user_6456,2023-09-05,2023-10-04,basic
user_14486,2023-07-14,2023-08-12,pro
user_2296,2023-10-13,2023-11-11,basic
user_29561,2023-05-24,2023-06-22,basic
user_12808,2023-11-11,2023-12-10,basic
user_17612,2023-11-28,2023-12-27,basic
user_16957,2023-08-01,2023-08-30,premium
user_29646,2023-07-01,2023-07-30,premium
user_23932,2023-11-24,2023-12-23,basic
user_6998,2023-07-07,2023-08-05,pro
user_26746,2023-07-20,2023-08-18,premium
user_17129,2023-04-30,2023-05-29,premium
user_25609,2023-10-04,2023-11-02,basic
user_5973,2023-07-25,2023-08-23,pro
user_25646,2023-09-12,2023-10-11,pro
user_12268,2023-08-12,2023-09-10,pro
user_15094,2023-06-06,2023-07-05,pro
user_28047,2023-08-14,2023-09-12,basic
user_23052,2023-06-15,2023-07-14,basic
user_24870,2023-08-26,2023-09-24,basic
user_5316,2023-09-01,2023-09-30,basic
user_17646,2023-09-22,2023-10-21,pro
user_25171,2023-03-27,2023-04-25,pro
user_26471,2023-11-16,2023-12-15,pro
user_4749,2023-11-02,2023-12-01,pro
user_12155,2023-06-23,2023-07-22,pro
user_1759,2023-06-10,2023-07-09,pro
user_28387,2023-08-25,2023-09-23,pro
user_20606,2023-10-16,2023-11-14,basic
user_29389,2023-12-17,2024-01-15,pro
user_28667,2023-12-25,2024-01-23,pro
user_18368,2023-07-19,2023-08-17,pro
user_15419,2023-10-01,2023-10-30,premium
user_24504,2023-12-16,2024-01-14,pro
user_11829,2023-12-23,2024-01-21,basic
user_19818,2023-12-22,2024-01-20,pro
user_29495,2023-11-26,2023-12-25,pro
user_24612,2023-06-21,2023-07-20,pro
user_21381,2023-06-27,2023-07-26,pro
user_22326,2023-08-26,2023-09-24,basic
user_2960,2023-09-09,2023-10-08,basic
user_29047,2023-04-15,2023-05-14,premium
user_22378,2023-08-24,2023-09-22,premium
user_29428,2023-12-20,2024-01-18,premium
user_8033,2023-07-24,2023-08-22,basic
user_13712,2023-09-19,2023-10-18,premium
user_16503,2023-10-08,2023-11-06,premium
user_186,2023-07-04,2023-08-02,pro
user_3991,2023-10-05,2023-11-03,basic
user_9050,2023-08-14,2023-09-12,premium
user_3921,2023-07-16,2023-08-14,pro
user_3884,2023-05-15,2023-06-13,pro
user_7629,2023-12-04,2024-01-02,premium
user_27367,2023-07-05,2023-08-03,premium
user_26461,2023-05-31,2023-06-29,basic
user_19102,2023-09-26,2023-10-25,basic
user_25520,2024-01-01,2024-01-30,premium
user_20082,2023-09-05,2023-10-04,premium
user_25243,2023-02-06,2023-03-07,pro
user_9870,2023-11-17,2023-12-16,premium
user_1761,2023-11-21,2023-12-20,pro
user_15729,2023-09-12,2023-10-11,pro
user_22233,2023-05-30,2023-06-28,pro
user_23315,2023-03-27,2023-04-25,basic
user_14859,2023-03-01,2023-03-30,premium
user_10727,2023-05-02,2023-05-31,premium
user_21456,2023-08-08,2023-09-06,basic
user_16445,2023-10-18,2023-11-16,pro
user_547,2023-10-16,2023-11-14,pro
user_15426,2023-04-18,2023-05-17,pro
user_25249,2023-09-24,2023-10-23,premium
user_17836,2023-07-24,2023-08-22,premium
user_1723,2023-09-13,2023-10-12,premium
user_3525,2023-12-14,2024-01-12,premium
user_12128,2023-12-22,2024-01-20,basic
user_22225,2023-03-09,2023-04-07,pro
user_26186,2023-11-14,2023-12-13,premium
user_29799,2023-08-19,2023-09-17,basic
user_21345,2023-11-11,2023-12-10,pro
user_5711,2023-08-08,2023-09-06,basic
user_5690,2023-10-28,2023-11-26,pro
user_20492,2023-07-27,2023-08-25,pro
user_12138,2023-09-16,2023-10-15,pro
user_23174,2023-11-01,2023-11-30,basic
user_11593,2023-09-14,2023-10-13,pro
user_28499,2023-12-22,2024-01-20,premium
user_18734,2023-05-12,2023-06-10,pro
user_9501,2023-05-22,2023-06-20,premium
user_6126,2023-05-16,2023-06-14,premium
user_17606,2023-06-26,2023-07-25,basic
user_14754,2023-04-26,2023-05-25,basic
user_5676,2023-03-16,2023-04-14,pro
user_23301,2023-12-07,2024-01-05,basic
user_19903,2023-09-07,2023-10-06,pro
user_17143,2023-12-18,2024-01-16,pro
user_1990,2023-10-16,2023-11-14,basic
user_16164,2023-12-29,2024-01-27,pro
user_15426,2023-10-12,2023-11-10,basic
user_26177,2023-04-15,2023-05-14,basic
user_16315,2023-09-06,2023-10-05,premium
user_10454,2023-09-15,2023-10-14,basic
user_12051,2023-10-14,2023-11-12,pro
user_18117,2023-12-04,2024-01-02,basic
user_11180,2023-07-02,2023-07-31,pro
user_24239,2023-11-22,2023-12-21,basic
user_20108,2023-08-31,2023-09-29,basic
user_4323,2023-12-12,2024-01-10,pro
user_26630,2023-12-18,2024-01-16,pro
user_9204,2023-08-01,2023-08-30,pro
user_7456,2023-11-27,2023-12-26,premium
user_19702,2023-06-02,2023-07-01,pro
user_7780,2023-11-22,2023-12-21,premium
user_28882,2023-10-27,2023-11-25,pro
user_11652,2023-07-27,2023-08-25,basic
user_18349,2023-09-14,2023-10-13,basic
user_11826,2023-05-11,2023-06-09,pro
user_19497,2023-04-25,2023-05-24,basic
user_22024,2023-09-29,2023-10-28,premium
user_4286,2023-09-29,2023-10-28,pro
user_29908,2023-06-28,2023-07-27,basic
user_1128,2023-12-23,2024-01-21,pro
user_14747,2023-03-18,2023-04-16,pro
user_18735,2023-09-01,2023-09-30,basic
user_22179,2023-09-22,2023-10-21,premium
user_3453,2023-08-29,2023-09-27,pro
user_21912,2023-04-11,2023-05-10,pro
user_2627,2023-09-25,2023-10-24,basic
user_21202,2023-02-15,2023-03-16,pro
user_20909,2023-05-16,2023-06-14,basic
user_28671,2023-03-30,2023-04-28,pro
user_6060,2023-12-07,2024-01-05,basic
user_16594,2023-07-22,2023-08-20,premium
user_23949,2023-09-25,2023-10-24,premium
user_10442,2023-03-30,2023-04-28,basic
user_3413,2023-09-09,2023-10-08,basic
user_14143,2023-11-12,2023-12-11,premium
user_25467,2023-03-08,2023-04-06,basic
user_11554,2023-08-25,2023-09-23,basic
user_6315,2024-01-01,2024-01-30,basic
user_22190,2023-11-29,2023-12-28,pro
user_15141,2023-05-01,2023-05-30,basic
user_14083,2023-09-26,2023-10-25,premium
user_462,2023-08-10,2023-09-08,basic
user_24965,2023-12-01,2023-12-30,premium
user_25138,2023-12-29,2024-01-27,premium
user_21162,2023-09-16,2023-10-15,pro
